Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
10744,Rishabh Pant,Pakistan,3,3.0,0.0,95.0,42.0,0,31.66,73.0,130.13,0.0,0.0,0.0,10.0,2.0
10744,Rishabh Pant,South Africa,11,9.0,1.0,108.0,29.0,0,13.5,96.0,112.5,0.0,0.0,1.0,8.0,5.0
10744,Rishabh Pant,Sri Lanka,6,5.0,2.0,92.0,49.0,0,30.66,72.0,127.77,0.0,0.0,0.0,10.0,2.0
10744,Rishabh Pant,U.S.A.,1,1.0,0.0,18.0,18.0,0,18.0,20.0,90.0,0.0,0.0,0.0,1.0,1.0
10744,Rishabh Pant,West Indies,16,16.0,4.0,397.0,65.0,1,33.08,281.0,141.28,0.0,3.0,2.0,34.0,15.0
10744,Rishabh Pant,Zimbabwe,1,1.0,0.0,3.0,3.0,0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0
12305,Riyan Parag,Sri Lanka,3,2.0,0.0,33.0,26.0,0,16.5,24.0,137.5,0.0,0.0,0.0,2.0,2.0
12305,Riyan Parag,Zimbabwe,3,2.0,0.0,24.0,22.0,0,12.0,27.0,88.88,0.0,0.0,0.0,0.0,1.0
576,Rohit Sharma,Afghanistan,6,6.0,2.0,204.0,121.0,1,51.0,133.0,153.38,1.0,1.0,2.0,20.0,11.0
576,Rohit Sharma,Australia,23,20.0,3.0,484.0,92.0,0,28.47,322.0,150.31,0.0,4.0,1.0,39.0,29.0
576,Rohit Sharma,Bangladesh,13,13.0,0.0,477.0,89.0,0,36.69,332.0,143.67,0.0,5.0,0.0,39.0,22.0
576,Rohit Sharma,England,16,15.0,2.0,467.0,100.0,1,35.92,334.0,139.82,1.0,3.0,0.0,49.0,18.0
576,Rohit Sharma,Hong Kong,1,1.0,0.0,21.0,21.0,0,21.0,13.0,161.53,0.0,0.0,0.0,2.0,1.0
576,Rohit Sharma,Ireland,4,4.0,2.0,201.0,97.0,0,100.5,145.0,138.62,0.0,3.0,1.0,16.0,9.0
576,Rohit Sharma,Namibia,1,1.0,0.0,56.0,56.0,0,56.0,37.0,151.35,0.0,1.0,0.0,7.0,2.0
576,Rohit Sharma,Netherlands,1,1.0,0.0,53.0,53.0,0,53.0,39.0,135.89,0.0,1.0,0.0,4.0,3.0
576,Rohit Sharma,New Zealand,17,17.0,2.0,511.0,80.0,0,34.06,362.0,141.16,0.0,6.0,0.0,37.0,27.0
576,Rohit Sharma,Pakistan,12,11.0,2.0,127.0,30.0,1,14.11,108.0,117.59,0.0,0.0,2.0,10.0,7.0
576,Rohit Sharma,Scotland,1,1.0,0.0,30.0,30.0,0,30.0,16.0,187.5,0.0,0.0,0.0,5.0,1.0
576,Rohit Sharma,South Africa,18,17.0,1.0,429.0,106.0,0,26.81,330.0,130.0,1.0,2.0,3.0,51.0,16.0
576,Rohit Sharma,Sri Lanka,19,17.0,0.0,411.0,118.0,0,24.17,285.0,144.21,1.0,1.0,2.0,37.0,19.0
576,Rohit Sharma,U.A.E.,1,1.0,0.0,39.0,39.0,0,39.0,28.0,139.28,0.0,0.0,0.0,7.0,1.0
576,Rohit Sharma,U.S.A.,1,1.0,0.0,3.0,3.0,0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0
576,Rohit Sharma,West Indies,22,22.0,4.0,693.0,111.0,1,38.5,485.0,142.88,1.0,5.0,1.0,57.0,39.0
576,Rohit Sharma,Zimbabwe,3,3.0,1.0,25.0,15.0,0,12.5,28.0,89.28,0.0,0.0,0.0,3.0,0.0
11813,Ruturaj Gaikwad,Australia,5,5.0,1.0,223.0,123.0,1,55.75,140.0,159.28,1.0,1.0,1.0,21.0,10.0
11813,Ruturaj Gaikwad,Bangladesh,1,1.0,1.0,40.0,40.0,1,,26.0,153.84,0.0,0.0,0.0,4.0,3.0
11813,Ruturaj Gaikwad,Ireland,3,2.0,1.0,77.0,58.0,0,77.0,59.0,130.5,0.0,1.0,0.0,7.0,2.0
11813,Ruturaj Gaikwad,Nepal,1,1.0,0.0,25.0,25.0,0,25.0,23.0,108.69,0.0,0.0,0.0,4.0,0.0
11813,Ruturaj Gaikwad,South Africa,5,5.0,0.0,96.0,57.0,0,19.2,73.0,131.5,0.0,1.0,0.0,9.0,5.0
11813,Ruturaj Gaikwad,Sri Lanka,2,2.0,0.0,35.0,21.0,0,17.5,28.0,125.0,0.0,0.0,0.0,3.0,0.0
11813,Ruturaj Gaikwad,West Indies,1,1.0,0.0,4.0,4.0,0,4.0,8.0,50.0,0.0,0.0,0.0,1.0,0.0
11813,Ruturaj Gaikwad,Zimbabwe,4,3.0,1.0,133.0,77.0,1,66.5,84.0,158.33,0.0,1.0,0.0,16.0,4.0
8271,Sanju Samson,Afghanistan,1,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8271,Sanju Samson,Australia,3,3.0,0.0,48.0,23.0,0,16.0,34.0,141.17,0.0,0.0,0.0,2.0,2.0
8271,Sanju Samson,Ireland,3,3.0,1.0,118.0,77.0,0,59.0,69.0,171.01,0.0,1.0,0.0,14.0,5.0
8271,Sanju Samson,New Zealand,2,2.0,0.0,10.0,8.0,0,5.0,10.0,100.0,0.0,0.0,0.0,0.0,1.0
8271,Sanju Samson,Sri Lanka,10,9.0,0.0,102.0,39.0,0,11.33,86.0,118.6,0.0,0.0,3.0,7.0,5.0
8271,Sanju Samson,West Indies,7,5.0,1.0,77.0,30.0,1,19.25,62.0,124.19,0.0,0.0,0.0,7.0,2.0
8271,Sanju Samson,Zimbabwe,4,3.0,1.0,89.0,58.0,0,44.5,76.0,117.1,0.0,1.0,0.0,4.0,4.0
11195,Shivam Dubey,Afghanistan,5,4.0,2.0,134.0,63.0,1,67.0,85.0,157.64,0.0,2.0,0.0,10.0,7.0
11195,Shivam Dubey,Australia,1,1.0,0.0,28.0,28.0,0,28.0,22.0,127.27,0.0,0.0,0.0,2.0,1.0
11195,Shivam Dubey,Bangladesh,5,3.0,1.0,44.0,34.0,0,22.0,36.0,122.22,0.0,0.0,0.0,0.0,3.0
11195,Shivam Dubey,England,1,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11195,Shivam Dubey,Ireland,3,2.0,2.0,22.0,22.0,1,,18.0,122.22,0.0,0.0,0.0,0.0,2.0
11195,Shivam Dubey,Nepal,1,1.0,1.0,25.0,25.0,1,,19.0,131.57,0.0,0.0,0.0,2.0,1.0
11195,Shivam Dubey,New Zealand,5,5.0,1.0,41.0,13.0,0,10.25,35.0,117.14,0.0,0.0,0.0,4.0,2.0
11195,Shivam Dubey,Pakistan,1,1.0,0.0,3.0,3.0,0,3.0,9.0,33.33,0.0,0.0,0.0,0.0,0.0
11195,Shivam Dubey,South Africa,1,1.0,0.0,27.0,27.0,0,27.0,16.0,168.75,0.0,0.0,0.0,3.0,1.0
11195,Shivam Dubey,Sri Lanka,3,1.0,0.0,13.0,13.0,0,13.0,14.0,92.85,0.0,0.0,0.0,0.0,0.0
11195,Shivam Dubey,U.S.A.,1,1.0,1.0,31.0,31.0,1,,35.0,88.57,0.0,0.0,0.0,1.0,1.0
11195,Shivam Dubey,West Indies,3,2.0,1.0,54.0,54.0,0,54.0,30.0,180.0,0.0,1.0,0.0,3.0,4.0
11195,Shivam Dubey,Zimbabwe,3,1.0,0.0,26.0,26.0,0,26.0,12.0,216.66,0.0,0.0,0.0,2.0,2.0
9428,Shreyas Iyer,Australia,4,4.0,1.0,73.0,53.0,0,24.33,50.0,146.0,0.0,1.0,1.0,6.0,3.0
9428,Shreyas Iyer,Bangladesh,3,3.0,1.0,108.0,62.0,0,54.0,59.0,183.05,0.0,1.0,0.0,7.0,8.0
9428,Shreyas Iyer,England,6,5.0,1.0,149.0,67.0,0,37.25,106.0,140.56,0.0,1.0,0.0,14.0,4.0
