Player ID,Player Name,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Wickets Per Over,Bowling Strike Rate,Bowling Average,Match Number
13217,Arshdeep Singh,2.0,17.0,0.0,37.0,0.0,18.5,35.29,29.41,5.0,0.0,0.0,0.0,1985
8808,Axar Patel,4.0,24.0,0.0,24.0,2.0,6.0,37.5,8.33,0.0,0.67,12.0,12.0,1985
7910,Yuzvendra Chahal,4.0,24.0,0.0,30.0,1.0,7.5,20.83,8.33,0.0,0.29,24.0,30.0,1985
9647,Hardik Pandya,4.0,26.0,0.0,30.0,2.0,7.5,57.69,15.38,2.0,0.75,13.0,15.0,1986
13217,Arshdeep Singh,2.4,20.0,0.0,20.0,3.0,8.33,65.0,15.0,4.0,1.97,6.67,6.67,1986
8808,Axar Patel,3.0,19.0,0.0,20.0,1.0,6.67,47.37,10.53,1.0,0.47,19.0,20.0,1986
7910,Yuzvendra Chahal,3.0,19.0,0.0,30.0,2.0,10.0,36.84,15.79,1.0,0.86,9.5,15.0,1986
9647,Hardik Pandya,3.0,19.0,0.0,34.0,0.0,11.33,21.05,21.05,1.0,0.0,0.0,0.0,1990
13217,Arshdeep Singh,4.0,27.0,0.0,51.0,2.0,12.75,48.15,29.63,3.0,0.67,13.5,25.5,1990
10945,Washington Sundar,4.0,24.0,0.0,22.0,2.0,5.5,45.83,8.33,0.0,0.71,12.0,11.0,1990
8292,Kuldeep Yadav,4.0,24.0,0.0,20.0,1.0,5.0,41.67,8.33,0.0,0.34,24.0,20.0,1990
9647,Hardik Pandya,4.0,25.0,0.0,25.0,1.0,6.25,40.0,12.0,1.0,0.34,25.0,25.0,1991
10945,Washington Sundar,2.2,19.0,0.0,17.0,1.0,7.73,63.16,5.26,5.0,0.73,19.0,17.0,1991
7910,Yuzvendra Chahal,2.0,13.0,0.0,4.0,1.0,2.0,84.62,0.0,1.0,0.92,13.0,4.0,1991
8292,Kuldeep Yadav,4.0,24.0,0.0,17.0,1.0,4.25,41.67,4.17,0.0,0.35,24.0,17.0,1991
13217,Arshdeep Singh,2.0,12.0,0.0,8.0,2.0,4.0,58.33,0.0,0.0,1.58,6.0,4.0,1991
9647,Hardik Pandya,4.0,24.0,0.0,16.0,4.0,4.0,58.33,4.17,0.0,1.56,6.0,4.0,1992
13217,Arshdeep Singh,3.0,18.0,0.0,17.0,2.0,5.67,55.56,11.11,0.0,1.0,9.0,8.5,1992
